RFE_Features
MinAbsEStateIndex
qed
MaxAbsPartialCharge
BCUT2D_CHGHI
BCUT2D_LOGPLOW
BCUT2D_MRHI
BCUT2D_MRLOW
AvgIpc
BalabanJ
PEOE_VSA10
PEOE_VSA13
PEOE_VSA7
PEOE_VSA9
SMR_VSA4
SlogP_VSA10
SlogP_VSA2
SlogP_VSA3
SlogP_VSA4
EState_VSA2
EState_VSA3
VSA_EState7
VSA_EState8
NumHeterocycles
NumUnspecifiedAtomStereoCenters
VE1_A
VR3_A
ATS0are
AATS0d
AATS5d
AATS5Z
AATS4p
AATS5p
AATS7p
AATS4i
ATSC8c
ATSC7dv
ATSC8dv
ATSC1d
ATSC7d
ATSC3s
ATSC8are
AATSC7c
AATSC3dv
AATSC5dv
AATSC6dv
AATSC1d
AATSC6d
AATSC7d
AATSC8s
AATSC4v
AATSC6v
AATSC3i
AATSC4i
MATS8s
GATS3c
GATS4c
GATS5c
GATS6c
GATS1d
GATS4d
GATS5d
GATS4s
GATS5s
GATS6s
GATS7s
GATS7Z
GATS3i
BCUTc-1l
BCUTd-1h
BCUTs-1h
BCUTZ-1l
BCUTv-1l
BCUTare-1l
BCUTi-1l
RPCG
Xch-6d
Xch-6dv
Xc-5dv
SssCH2
ETA_shape_y
ETA_shape_x
AETA_beta_ns_d
fragCpx
IC1
IC2
BIC4
CIC0
MDEC-23
AMID
MID_O
MPC10
TpiPC10
n5HRing
JGI4
JGI5
JGI6
JGI9
SRW03
ECFP_1
ECFP_1145
